ID,VAR00,VAR00,VAR01,VAR02,VAR02_1,VAR03,VAR04,VAR05,VAR06,VAR07,VAR08,VAR09_1,VAR09_2,VAR09_3,VAR09_4,VAR09_5,VAR09_6,VAR09_7,VAR09_8,VAR09_9,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35
80,TUR_102,TR_102,3,1,,1,33,3,1,3,5,2,2,2,2,2,2,2,2,1,4,999,999,999,999,99,99,999,999,999,1,999
81,TUR_103,TR_103,3,1,,1,36,5,1,3,5,2,2,2,2,2,2,2,2,1,4,0,0,999,999,0,99,999,999,999,999,999
85,SYR-F-MUN-23.08,DE_7,9,1,,1,38,4,1,2,2,2,2,2,2,2,2,2,2,1,2,999,1,0,1,99,99,999,999,999,1,1
88,SYR- M- MUN- 28.11,DE_8,9,1,,0,20,0,5,2,2,2,2,2,2,2,2,2,2,1,2,999,1,1,18,1,0,999,999,1,0,1
90,PLMICh03,PLM_03,8,4,Russia (Chechnya),1,35,1,5,2,7,2,2,2,1,2,2,2,2,2,1,0,1,0,999,99,99,999,1,1,0,0
91,PLMICh05,PLM_05,8,4,Russia (Chechnya),1,30,2,1,2,1,2,2,2,2,2,2,2,2,1,1,0,1,1,999,1,2,999,999,1,0,1
92,PLMICh06,PLM_06,8,4,Russia (Chechnya),1,43,3,1,1,3,2,2,2,2,2,2,2,2,1,1,0,1,1,999,1,1,999,999,1,1,1
93,AFGH-M-GOE 1110,DE_9,9,2,,0,22,0,5,999,8,2,2,2,2,2,2,2,2,1,1,999,1,1,999,99,99,999,1,1,1,1
94,PLMICh08,PLM_08,8,4,Russia (Chechnya),1,45,1,2,999,1,2,2,2,1,2,2,2,2,2,6,0,1,0,18,0,99,999,999,999,0,999
96,PLMICh12,PLM_12,8,4,Russia (Chechnya),0,26,0,5,3,5,2,2,2,2,2,2,2,2,1,6,0,1,1,999,1,1,999,999,1,0,0
99,TUR_2,TR_2,3,1,,0,23,999,5,2,1,2,2,2,2,2,2,2,2,1,4,1,0,0,999,0,99,999,0,0,1,1
100,PLMICh13,PLM_13,8,4,Russia (Chechnya),0,43,5,1,3,5,2,2,2,2,2,2,1,2,2,1,999,1,1,999,0,2,999,999,999,1,1
104,TUR_6,TR_6,3,1,,0,60,4,1,999,7,2,1,2,2,2,1,2,2,2,4,0,0,999,999,0,99,999,0,0,1,1
109,TUR_11,TR_124,3,1,,0,35,3,1,999,7,2,2,2,2,2,2,2,2,1,4,1,0,999,999,0,99,999,0,1,1,1
111,TUR_13,TR_13,3,1,,0,37,4,1,999,7,2,2,2,2,2,2,2,2,1,4,0,0,999,999,0,99,999,0,0,1,1
115,TUR_17,TR_17,3,1,,0,25,1,1,999,2,2,2,2,2,2,2,2,2,1,4,0,0,999,999,0,99,999,0,0,1,999
118,TUR_20,TR_20,3,1,,0,25,2,1,999,2,2,2,2,2,2,2,2,2,1,4,0,0,999,999,0,99,999,0,0,1,1
120,PLMIUk17,PLM_17,8,4,Ukraine,0,26,0,5,999,2,2,2,2,2,2,2,2,2,1,1,0,1,1,999,1,1,999,999,1,0,1
124,PLMISy24,PLM_24,8,1,,0,65,4,1,3,5,2,2,2,2,2,2,2,2,1,1,0,1,999,999,0,0,999,0,0,1,1
125,PLMIIR26,PLM_26,8,3,,0,32,0,5,1,1,1,2,2,2,2,2,2,2,2,1,999,1,999,999,0,2,999,1,1,1,1
128,PLMISy25,PLM_25,8,1,,1,22,0,5,3,5,2,2,2,2,2,2,2,2,1,3,0,1,0,6,99,99,999,999,999,1,999
131,PLMiIr28,PLM_28,8,3,,1,57,2,1,3,4,2,1,2,2,2,2,2,2,2,2,0,1,999,6,99,99,999,1,999,999,999
135,PLMICh09,PLM_09,8,4,Russia (Chechnya),0,52,0,5,1,1,2,2,2,2,2,2,1,2,2,3,0,1,0,21,0,0,999,999,999,0,999
140,CAM-M-GRO-23/07,DE_10,9,4,Cameroon,0,39,2,5,2,2,2,2,2,2,2,2,1,2,2,1,999,1,1,999,1,2,999,999,999,999,1
141,LEB_Micro_Female_05.12.2018_Tripoli_Homs2,LEB_1,2,1,,1,999,3,1,2,1,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,999,0
145,LEB_Micro_Female_05.12.2018_Tripoli_Damascus(rural),LEB_2,2,1,,1,22,2,1,2,8,2,2,1,2,2,2,2,2,2,6,1,999,999,999,99,99,999,999,999,0,1
